tweet_id,tweet_full_text,tweet_lang,created_at
1237366867582423045,#amazing #instamood Women's Elegant Square Cut Engagement Rings https://t.co/4SgefstBoQ https://t.co/LIDBbdY7Lb,en,Tue Mar 10 13:17:05 +0000 2020
1237366613340491776,@ScotGovFM  @scotgov  #Amazing what a small country that was once under British Empire Rule now does https://t.co/7VpcejEHte,en,Tue Mar 10 13:16:04 +0000 2020
1237366580478173184,"RT @NiceBoyKimo: Hong Kong Victoria harbour, city never sleeps.

#amazing #cityscape https://t.co/hnkMRpu7vy",en,Tue Mar 10 13:15:56 +0000 2020
1237366347006382080,"RT @Time4Stream: SkyTg24 Live news feed from
City of Milan (Italy) with
Emanuela Ambrosino.

07.03.2020

#time4stream  #livenews #direttatv…",en,Tue Mar 10 13:15:00 +0000 2020
1237366258649255936,"It's : 2020-03-10T13:14:39.6501440Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 13:14:39 +0000 2020
1237365466361999361,RT @bolton__castle: It might be #windy in #Yorkshire #today but we are open. Come in and #shelter in the #Castle and #discover how Mary Que…,en,Tue Mar 10 13:11:30 +0000 2020
1237365348783063041,"📫🌈✨ That’s how we do it here at Herbs on the Hill ✨🌈📫 #CustomerServiceGoals #LittlePotofMagic #Amazing
https://t.co/iEVycx6D3H https://t.co/KrLIUh2w8C",en,Tue Mar 10 13:11:02 +0000 2020
1237365121967685634,Alonso needed a lot of timp sticks at rehearsal yesterday for the Poulenc Organ Concerto with @RichardGowers. It was #Amazing! Don't miss it on the 22nd. #Worthing #community #music https://t.co/JdhMOyFPi0,en,Tue Mar 10 13:10:08 +0000 2020
1237365086387417088,"#DQuick​ ​@originaldquick​ featured in ​#MusicLov3rz​ #WW Magazine February edition ​#NewSingle​ ​#AMAZING​ for
#SuicideAwareness​ ​https://t.co/PnhXOCCu0i https://t.co/Eb63JXxrc5​ ​https://t.co/G0fdIrvqZs
~",en,Tue Mar 10 13:10:00 +0000 2020
1237365023095304193,#amazing #instamood Women's Polyester Elegant Office Jumpsuit https://t.co/no7nFBg7v5 https://t.co/IzlTfp9Pc0,en,Tue Mar 10 13:09:45 +0000 2020
1237364998453764096,"It's : 2020-03-10T13:09:39.2339926Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 13:09:39 +0000 2020
1237364693481766913,#amazing #instamood Business Styled Quartz Watches for Men with Stainless Steel Strap https://t.co/jfFOyKPLit https://t.co/HVrWGMtOtC,en,Tue Mar 10 13:08:26 +0000 2020
1237364276567969792,"RT @elygoya: Our #amazing project @PROTECTED_ITN is heading to an end this 2020, we are inviting to all the people interested in #Endocrine…",en,Tue Mar 10 13:06:47 +0000 2020
1237363855954718721,#life #getoutside #amazing Foldable Plastic Makeup Organizers https://t.co/lLijT2VV2e https://t.co/YjfUkC89hq,en,Tue Mar 10 13:05:07 +0000 2020
1237363740389113856,"It's : 2020-03-10T13:04:38.9195041Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute #like #rt #girl #guy #beautiful #look #amazing #style #colorful #ico #Walls #BestMusicVideo #iHeartAwards #BoyWithLuv",en,Tue Mar 10 13:04:39 +0000 2020
